"serial_no","category","intm_id","page","name","trade_name","registration_no","email","telephone","fax_no","address","contact_person","correspondence_address","correspondence_email","correspondence_telephone","correspondence_fax","website","exchange_name","emails_all","phone_numbers_all","validity","source_url"
"1","Registered Stock Brokers in equity segment","30","1","360 ONE CAPITAL MARKET PRIVATE LIMITED","360 ONE CAPITAL MARKET PRIVATE LIMITED","INZ000284836","compliance@bksec.com","03322437902","","ROOM NO.3/4, 7-LYONS RANGE,","","","","","","","NATIONAL STOCK EXCHANGE OF INDIA LIMITED","compliance@bksec.com","03322437902","Mar 27, 2026 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"2","Registered Stock Brokers in equity segment","30","1","4A SECURITIES LIMITED","4A SECURITIES LIMITED","INZ000246535","amitkumae.4agroup@gmail.com","9101149002226","","109,DLF TOWER-A JASOLA VIHAR","","","","","","","INDIAN CLEARING CORPORATION LIMITED(ICCL)","amitkumae.4agroup@gmail.com","9101149002226","Apr 10, 2012 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"3","Registered Stock Brokers in equity segment","30","1","4A SECURITIES LIMITED","4A SECURITIES LIMITED","INZ000246535","amitkumae.4agroup@gmail.com","9101149002226","","109,DLF TOWER-A JASOLA VIHAR","","","","","","","NATIONAL STOCK EXCHANGE OF INDIA LIMITED","amitkumae.4agroup@gmail.com","9101149002226","Apr 10, 2012 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"4","Registered Stock Brokers in equity segment","30","1","4A SECURITIES LIMITED","4A SECURITIES LIMITED","INZ000246535","amitkumae.4agroup@gmail.com","9101149002226","","109,DLF TOWER-A JASOLA VIHAR","","","","","","","NSE Clearing Limited","amitkumae.4agroup@gmail.com","9101149002226","Apr 10, 2012 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"5","Registered Stock Brokers in equity segment","30","1","5PAISA CAPITAL LIMITED","5PAISA CAPITAL LIMITED","INZ000010231","teamcompliance@5Paisa.com","0917738225531","","IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,","","","","","","","INDIAN CLEARING CORPORATION LIMITED(ICCL)","teamcompliance@5Paisa.com","0917738225531","Sep 30, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"6","Registered Stock Brokers in equity segment","30","1","5PAISA CAPITAL LIMITED","5PAISA CAPITAL LIMITED","INZ000010231","teamcompliance@5Paisa.com","0917738225531","","IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,","","","","","","","BOMBAY STOCK EXCHANGE LIMITED","teamcompliance@5Paisa.com","0917738225531","Sep 30, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"7","Registered Stock Brokers in equity segment","30","1","5PAISA CAPITAL LIMITED","5PAISA CAPITAL LIMITED","INZ000010231","teamcompliance@5Paisa.com","0917738225531","","IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,","","","","","","","NATIONAL STOCK EXCHANGE OF INDIA LIMITED","teamcompliance@5Paisa.com","0917738225531","Sep 30, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"8","Registered Stock Brokers in equity segment","30","1","5PAISA CAPITAL LIMITED","5PAISA CAPITAL LIMITED","INZ000010231","teamcompliance@5Paisa.com","0917738225531","","IIFL HOUSE, SUN INFOTECH PARK, ROAD NO. 16V, B-23, MIDC, THANE INDUSTRIAL AREA, WAGLE ESTATE,","","","","","","","NSE Clearing Limited","teamcompliance@5Paisa.com","0917738225531","Sep 30, 2015 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"9","Registered Stock Brokers in equity segment","30","1","9 CAPITAL CONSULTANTS LLP","9 CAPITAL CONSULTANTS LLP","INZ000308458","9CAPITALCON@GMAIL.COM","919820483601","","602, GANESH DARSHAN, L.T. ROAD, BORIVALI WEST,","","","","","","","NATIONAL STOCK EXCHANGE OF INDIA LIMITED","9CAPITALCON@GMAIL.COM","919820483601","Sep 20, 2022 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
"10","Registered Stock Brokers in equity segment","30","1","A C AGARWAL SHARE BROKERS PRIVATE LIMITED","A C AGARWAL SHARE BROKERS PRIVATE LIMITED","INZ000216930","aca.compliance@acagarwal.com","912652361059","","406 , Payal Co Op Soc. Sayajiganj","","","","","","","INDIAN CLEARING CORPORATION LIMITED(ICCL)","aca.compliance@acagarwal.com","912652361059","Jan 13, 2009 - Perpetual","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30"
