"serial_no","email","domain","priority","recommended_segment","email_type","primary_category","categories","name","trade_name","contact_person","registration_no","city","state","telephone","website","address","source_urls","notes"
"3004","askwa_compliance@askwealthadvisors.com","askwealthadvisors.com","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","ASK Wealth Advisors Private Limited","","Vijay Shah","INA000000532","MUMBAI","MAHARASHTRA","0919930235443","","Birla Aurora, 16 Level, Office Floor 9 , Dr. Annie Besant Road, Worli, MUMBAI, MAHARASHTRA, 400030","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3005","compliance-ria@stoicinvesting.com","stoicinvesting.com","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","STOIC ADVISORS LLP","","Puneet Khurana","INA000018920","FARIDABAD","HARYANA","91009953227679","","House No 108, Sector-7A, FARIDABAD, HARYANA, 121006","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3006","compliance.jmfs@jmfl.com","jmfl.com","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser; Research Analyst; Registered Stock Brokers in equity segment","JM FINANCIAL SERVICES LIMITED","JM FINANCIAL SERVICES LIMITED","Amar Agarwal","INA000012351; INH000001196; INZ000195834","MUMBAI","MAHARASHTRA","912266303030; 91522660303; 919152660303","","7th Floor, Cnergy, Appasaheb Marathe Marg, Prabhadevi, MUMBAI, MAHARASHTRA, 400025","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=14; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"3007","compliance.ria@buglerock.asia","buglerock.asia","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","BUGLEROCK BHUVI INVESTMENT ADVISERS PRIVATE LIMITED","","Neha Sharma","INA200012674","BANGALORE","KARNATAKA","918069029000","","Prestige Takt, 1st Floor, No. 23,, Kasturba Road Cross,, BANGALORE, KARNATAKA, 560001","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3008","compliance.ria@scripbox.com","scripbox.com","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","Scripbox Wealth Managers Private Limited","","Meyyappan Meyyappan","INA200001041","BANGALORE","KARNATAKA","00919945034531","","3rd Floor, Indiqube, The Leela Galleria, , No.23, Old Airport Road,, BANGALORE, KARNATAKA, 560008","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3009","compliance.wealth@epifi.com","epifi.com","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","Epifi Wealth Private Limited","","MEKA RAGHUVAMSI","INA200015185","BANGALORE","KARNATAKA","00919550764681","","Salarpuria Sattva Knowledge Court,, Survey No.77, Plot no. 9, 06th Floor, Doddenakundi, KR Puram Hobli,, BANGALORE, KARNATAKA, 560048","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3010","compliance@1finance.co.in","1finance.co.in","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","1 Finance Private Limited","","Mohan Kumar","INA000017523","RAJKOT","GUJARAT","00007738942481","","Marwadi Financial Plaza Nana Mava Main Road, Off 150 Feet Ring Road, RAJKOT, GUJARAT, 360001","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3011","compliance@alt-alpha.com","alt-alpha.com","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","Alpha Alternatives Fund Advisors LLP","","Mayank Varshney","INA000016171","MUMBAI","MAHARASHTRA","","","34th Floor, Sunshine Tower, Senapati Bapat Marg, Dadar West, MUMBAI, MAHARASHTRA, 400013","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3012","compliance@angelbroking.com","angelbroking.com","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","ANGEL ONE LIMITED","","Bineet Jha","INA000008172","MUMBAI","MAHARASHTRA","9102240003600","","601, 6th Floor, Ackruti Star, Central Road,, MIDC, Andheri East, MUMBAI, MAHARASHTRA, 400093","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
"3013","compliance@angeloneim.in","angeloneim.in","P2","compliance_role_inbox","role_compliance","Investment Adviser","Investment Adviser","Angel One Investment Managers & Advisors Private Limited","","Nipun Doshi","INA000019804","MUMBAI","MAHARASHTRA","0002240003600","","Office No. 601, 6th Floor, Ackruti Star, Ackruti Star Pocket 5, Central Road,Marol, MIDC Andheri, MUMBAI, MAHARASHTRA, 400093","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13",""
