"serial_no","email","domain","priority","recommended_segment","email_type","primary_category","categories","name","trade_name","contact_person","registration_no","city","state","telephone","website","address","source_urls","notes"
"28","aditi@daycoindia.com","daycoindia.com","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Research Analyst; Registered Stock Brokers in equity segment","DAYCO SECURITIES PVT LTD","DAYCO SECURITIES PVT LTD","Aditi Nundy","INA300016701; INH000012892; INZ000265037","KOLKATA","WEST BENGAL","033140675065; 9103340675074","","113 Park Street, Poddar Point B Block 7th Floor, KOLKATA, WEST BENGAL, 700016","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=14; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"255","ebo@esteeadvisors.com","esteeadvisors.com","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Registered Stock Brokers in equity segment","Estee Advisors Private Limited","ESTEE IFSC PVT LTD","Keshav Kumar","INA000016463; INZ000099036","GANDHINAGAR","GUJARAT","918000737308","","PO5-01A, PO5-01B, PO5-01C, 5th Floor, Tower A,, WTC, Block 51, Road 5E, Zone 5,Gift City, GANDHINAGAR, GUJARAT, 382355","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"261","exchange@zebuetrade.com","zebuetrade.com","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Research Analyst; Registered Stock Brokers in equity segment","Zebu Share and Wealth Managements Private Limited","ZEBU SHARE AND WEALTH MANAGEMENTS PRIVATE LIMITED","Vijayakumar Vellaiyan","INA000017815; INH200006044; INZ000174634","ERODE","TAMIL NADU","04448557991; 914448557991; 0917397787538","","No 36, VCTV Main Road, Sathy Road Erode, Tamilnadu, ERODE, TAMIL NADU, 638003","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=14; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"342","info@labdhi.in","labdhi.in","P1","recommended_first_wave","role_generic","Investment Adviser","Investment Adviser; Registered Stock Brokers in equity segment","L.F.C. SECURITIES PVT. LTD.","L.F.C. SECURITIES PRIVATE LIMITED","KETAN PAREKH","INA000011617; INZ000170736","MUMBAI","MAHARASHTRA","9102225029200","","104-111, BHAVESHWAR MARKET, M.G. ROAD, GHATKOPAR- (E), MUMBAI, MAHARASHTRA, 400077","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"448","mcibpl@chandaranaonline.net","chandaranaonline.net","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Registered Stock Brokers in equity segment","MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED","Marwadi Chandarana Intermediaries Brokers Private Limited","Chandni Chhabariya","INA000021517; INZ000250531","GANDHINAGAR","GUJARAT","00919313923552; 9102816199231","","12th floor, office No. 1201 to 1205, X-Change Plaza, Building No. 53E, Road 5E, Zone 5, Gift City, Gandhinagar, GANDHINAGAR, GUJARAT, 382050","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"482","murli.karkera@hdfcsec.com","hdfcsec.com","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Registered Stock Brokers in equity segment","HDFC SECURITIES LIMITED","HDFC SECURITIES LTD.","MURLI KARKERA","INA000011538; INZ000186937","MUMBAI","MAHARASHTRA","02202230750052; 0919619796819","","I Think Techno Campus Building-B, 'Alpha', 8th Floor, Opp. Crompton Greaves, Near Kanjurmarg Station, Kanjurmarg(East),, MUMBAI, MAHARASHTRA, 400042","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"494","naynesh.sampat@juliusbaer.com","juliusbaer.com","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Research Analyst; Registered Stock Brokers in equity segment","Julius Baer Wealth Advisors (India) Private Limited","JULIUS BAER WEALTH ADVISORS (INDIA) PVT. LTD.","Naynesh Sampat","INA000003130; INH000002541; INZ000008631","MUMBAI","MAHARASHTRA","91009823420785; 919823420785","","Altimus, 2501, 25th Level, Pandurang Budhkar Marg, Worli, MUMBAI, MAHARASHTRA, 400018","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=14; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"520","nitin.lakhotia@frrshares.com","frrshares.com","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Registered Stock Brokers in equity segment","FRR SHARES AND SECURITIES LIMITED","FRR SHARES AND SECURITIES LIMITED","NITIN LAKHOTIA","INA000008668; INZ000279232","MUMBAI","MAHARASHTRA","0919320174101","","205, EMBASSY CENTRE, Nariman Point, MUMBAI, MAHARASHTRA, 400021","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"828","tahir@hensex.com","hensex.com","P1","recommended_first_wave","person_or_team_business_domain","Investment Adviser","Investment Adviser; Registered Stock Brokers in equity segment","HENSEX SECURITIES PRIVATE LIMITED","HENSEX SECURITIES PRIVATE LIMITED","TAHIR HUSSAIN","INA000019327; INZ000209725","JODHPUR","RAJASTHAN","9129126630000; 0919784916663","","7, BHAGAT KI KOTHI EXTN, N.H.65,, PALI ROAD,, JODHPUR, RAJASTHAN, 342005","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=13; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"963","arhamwealthsurat@gmail.com","gmail.com","P1","recommended_first_wave","personal_free_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","Arham Wealth Management Private Limited","ARHAM WEALTH MANAGEMENT PRIVATE LIMITED","NIRAV DESAI","INP000008853; INZ000189034","GANDHINAGAR","GUJARAT","9102614245955; 0919825119762","","UNIT NO. 418, 419, 419A, 4TH FLOOR, DSCCSL TOWER, BLOCK NO. 53, ROAD 5C, GIFT CITY, GANDHINAGAR, GUJARAT, GANDHINAGAR, GUJARAT, 382355","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"970","atishaystockbroking@gmail.com","gmail.com","P1","recommended_first_wave","personal_free_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","Atishay Stock Broking Private Limited","ATISHAY STOCK BROKING PRIVATE LIMITED","Subhendu Sarkar","INP000009320; INZ000299131","KOLKATA","WEST BENGAL","0913366748822; 03366748822","","6 Jawahar Lal Nehru Road, Siddha Esplanade 13th Floor Room No 1507, KOLKATA, WEST BENGAL, 700013","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"1008","fes@fesecurities.in","fesecurities.in","P1","recommended_first_wave","person_or_team_business_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","FE SECURITIES PRIVATE LIMITED","FE SECURITIES PVT. LTD.","ANIL KUMAR","INP000009269; INZ000240438","DELHI","NATIONAL CAPITAL TERRITORY OF DELHI","9101123350670; 9101123317382","","814 ARUNACHAL BUILDING, 19 BARAKHAMBA ROAD, DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110001","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"1052","krishna@fisdom.com","fisdom.com","P1","recommended_first_wave","person_or_team_business_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","Finwizard Technology Private Limited","Fisdom","Krishna Jakkula","INP000008950; INZ000209036","BANGALORE","KARNATAKA","910229820178911; 0919820178911","","IndiQube Sapphire,2nd Floor,No73,1,StMarks Road,Bangalore, BANGALORE, KARNATAKA, 560052","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"1106","prakash@compositeinvestments.com","compositeinvestments.com","P1","recommended_first_wave","person_or_team_business_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","COMPOSITE INVESTMENTS PRIVATE LIMITED","COMPOSITE INVESTMENTS PVT. LTD.","PRAKASH NAYAK BADAGABETTU","INP000006396; INZ000279531","BANGALORE","KARNATAKA","91808022244912; 919743596443","","NO 30/1 3RD FLOOR, S J TOWERS MISSION ROAD, BANGALORE, KARNATAKA, 560027","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"1117","rajneesh_singh@stockholding.com","stockholding.com","P1","recommended_first_wave","person_or_team_business_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","STOCKHOLDING SERVICES LIMITED","STOCKHOLDING SERVICES LIMITED","Rajneesh Singh","INP000007304; INZ000199936","NAVI MUMBAI","MAHARASHTRA","9102261778600","","SHCIL House, Plot No.P-51, TTC Industrial Area, MIDC, Mahape, Navi Mumbai, NAVI MUMBAI, MAHARASHTRA, 400710","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"1146","santosh@skothari.com","skothari.com","P1","recommended_first_wave","person_or_team_business_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","Singularity AMC LLP","Anantroop Financial Advisory Services Private Limited","Yash Kela","INP000007474; INZ000306235; INZ000306136","MUMBAI","MAHARASHTRA","9102222424480; 02224224480","","A 1404, 14th Floor, Naman Midtown, Near India Bulls, Senapati Bapat Marg, Elphinstone, MUMBAI, MAHARASHTRA, 400013","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"1161","shuklaap@joindre.com","joindre.com","P1","recommended_first_wave","person_or_team_business_domain","Registered Portfolio Managers","Registered Portfolio Managers; Registered Stock Brokers in equity segment","JOINDRE CAPITAL SERVICES LIMITED","JOINDRE CAPITAL SERVICES LTD.","Ayodhyaprasad Shukla","INP000006138; INZ000174034","MUMBAI","MAHARASHTRA","02202240334728; 9102240334567","JOINDREPMS.COM","29-32,3rd Floor,9/15, Bansilal Building, , Homi Modi Street, Fort,, MUMBAI, MAHARASHTRA, 400023","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=33; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
"1244","accounts@kmjpl.com","kmjpl.com","P1","recommended_first_wave","person_or_team_business_domain","Research Analyst","Research Analyst; Registered Stock Brokers in equity segment","K.M Jain Stock Brokers Pvt Ltd","K. M. JAIN STOCK BROKERS PVT. LTD.","ANAND JAIN","INH000015756; INZ000223637","MUMBAI","MAHARASHTRA","9102249734185; 02249734185","","631 STOCK EXCHANGE TOWER, DALAL STREET P J TOWER FORT, MUMBAI, MAHARASHTRA, 400023","https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=14; https://www.sebi.gov.in/sebiweb/other/OtherAction.do?doRecognisedFpi=yes&intmId=30",""
